evidence_id,value,source_file,source_sha256,selector_kind,selector_json,input_unit,output_unit,aggregation,aggregation_parameters_json,eligibility
table1.cpu.logical_processors,48,environment-preflight.txt,sha256:064fa1a6d5a372d25b2a1aa1d886369719bd4da3139bb11c5db932ecf3504281,archive-json,"{""pointer"":""/recorded_run_environment/host/logical_processors""}",count,count,identity,{},frozen_final_candidate
table1.memory_bytes,137438953472,environment-preflight.txt,sha256:064fa1a6d5a372d25b2a1aa1d886369719bd4da3139bb11c5db932ecf3504281,archive-json,"{""pointer"":""/recorded_run_environment/host/total_memory_bytes""}",bytes,bytes,identity,{},frozen_final_candidate
table1.sandbox_limits.memory_bytes,512,environment-preflight.txt,sha256:064fa1a6d5a372d25b2a1aa1d886369719bd4da3139bb11c5db932ecf3504281,archive-json,"{""pointer"":""/sandbox_limits/memory_bytes""}",bytes,MiB,identity,"{""divisor"":1048576}",frozen_final_candidate
table1.sandbox_limits.pids_limit,256,environment-preflight.txt,sha256:064fa1a6d5a372d25b2a1aa1d886369719bd4da3139bb11c5db932ecf3504281,archive-json,"{""pointer"":""/sandbox_limits/pids_limit""}",count,count,identity,{},frozen_final_candidate
table1.sandbox_limits.vcpus,1,environment-preflight.txt,sha256:064fa1a6d5a372d25b2a1aa1d886369719bd4da3139bb11c5db932ecf3504281,archive-json,"{""pointer"":""/sandbox_limits/vcpus""}",count,count,identity,{},frozen_final_candidate
table1.seed,20260712,fixture-manifest.json,sha256:f35b5e9fd04986b4370fd17f09311ff870d7f1abaf02cdd02411cd0d8c4e7be1,archive-json,"{""pointer"":""/identity/seed""}",count,count,identity,{},frozen_final_candidate
table1.trials.measured,100,expanded-plan.json,sha256:fa04fe9254e071ea6c65f906b9e62854a60330d0fdca8c41cb41297f3c923b2e,archive-json,"{""invariant"":""all equal"",""pointer"":""/data/cells/*/protocol/measured_trials""}",count,count,identity,{},frozen_final_candidate
table1.trials.warmups,2,expanded-plan.json,sha256:fa04fe9254e071ea6c65f906b9e62854a60330d0fdca8c41cb41297f3c923b2e,archive-json,"{""invariant"":""all equal"",""pointer"":""/data/cells/*/protocol/warmups""}",count,count,identity,{},frozen_final_candidate
table1.workspace_fixture.file_count,4000,fixture-manifest.json,sha256:f35b5e9fd04986b4370fd17f09311ff870d7f1abaf02cdd02411cd0d8c4e7be1,archive-json,"{""pointer"":""/identity/fixture/file_count""}",count,count,identity,{},frozen_final_candidate
table1.workspace_fixture.logical_mib,100,fixture-manifest.json,sha256:f35b5e9fd04986b4370fd17f09311ff870d7f1abaf02cdd02411cd0d8c4e7be1,archive-json,"{""pointer"":""/identity/fixture/logical_bytes""}",bytes,MiB,identity,"{""divisor"":1048576}",frozen_final_candidate
table1.workspace_fixture.maximum_depth,100,fixture-manifest.json,sha256:f35b5e9fd04986b4370fd17f09311ff870d7f1abaf02cdd02411cd0d8c4e7be1,archive-json,"{""pointer"":""/identity/fixture/maximum_depth""}",count,count,identity,{},frozen_final_candidate
table2.create_sandbox.none.c1.p50_ms,1659.8107,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:d479308c8b3bd02e2d89919bafcd824d9b289bab41d2d40ba1cb4ca3968bf6b2"",""field"":""raw_points[].value"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",nanoseconds,milliseconds,linear_quantile_p50,"{""interpolation"":""linear"",""position"":""(n-1)*q"",""probability"":0.5,""unit_divisor"":1000000}",frozen_final_candidate
table2.create_sandbox.none.c1.p95_ms,1749.7388000000001,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:d479308c8b3bd02e2d89919bafcd824d9b289bab41d2d40ba1cb4ca3968bf6b2"",""field"":""raw_points[].value"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",nanoseconds,milliseconds,linear_quantile_p95,"{""interpolation"":""linear"",""position"":""(n-1)*q"",""probability"":0.95,""unit_divisor"":1000000}",frozen_final_candidate
table2.create_sandbox.none.c1.p99_ms,1794.9019450000008,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:d479308c8b3bd02e2d89919bafcd824d9b289bab41d2d40ba1cb4ca3968bf6b2"",""field"":""raw_points[].value"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",nanoseconds,milliseconds,linear_quantile_p99,"{""interpolation"":""linear"",""position"":""(n-1)*q"",""probability"":0.99,""unit_divisor"":1000000}",frozen_final_candidate
table2.create_sandbox.none.c1.samples,100,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:d479308c8b3bd02e2d89919bafcd824d9b289bab41d2d40ba1cb4ca3968bf6b2"",""field"":""available_n"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",count,count,identity,{},frozen_final_candidate
